PROMEDIOS DE LOS 5 DÍAS
 Rain 0.5762124778797516, Tmax 17.480278014098637, Tmin 14.46883954557544
 Rain 0.951229520197956, Tmax 16.181728208224012, Tmin 11.299264113509704
 Rain 1.771328775999484, Tmax 16.434631749929054, Tmin 12.06090862302333
 Rain 1.490571761809104, Tmax 15.730391833810463, Tmin 11.620853893460023
 Rain 0.9027339035400024, Tmax 15.85975538393893, Tmin 11.543833233396382
 
