PROMEDIOS DE LOS 5 DIAS LATITUD Y LONGITUD 
 Rain 0.24844875000000008, Tmax 17.419295553365288, Tmin 6.896897658276595
 Rain 0.23455092592592555, Tmax 17.710537074231283, Tmin 7.687828041838172
 Rain 0.9737632211538462, Tmax 17.995484469502088, Tmin 8.087987984166297
 Rain 2.6647776442307713, Tmax 15.780658258613304, Tmin 7.50946347214361
 Rain 0.3534038461538464, Tmax 16.167217893399137, Tmin 6.789466146321838
 
